item_code,variant,variant_desctiption,variant_order,vendor,stock_quantity
RPL001555,S,S,2,0611,0
068445810910A,0,TU,1,011,1
068620807623M,0,TU,1,011,0
06828831463M,0,TU,1,011,0
06841018666A,0,TU,1,011,1
06836688055A,0,TU,1,011,1
068609111533,0,TU,1,011,1
06840991385A,0,TU,1,011,3
06869314086A,0,TU,1,011,1
06840958668A,0,TU,1,011,0
06598801728A,0,TU,1,011,1
06869471718A,0,TU,1,011,0
06851818009M,0,TU,1,011,1
065988017210A,0,TU,1,011,0
065002280012M,0,TU,1,011,0
068469831710A,0,TU,1,011,2
06857921725A,0,TU,1,011,0
06507282064A,0,TU,1,011,1
068590717212A,0,TU,1,011,0
06842574221/3M,0,TU,1,011,2
009662280512/18M,0,TU,1,011,0
06847424223A,0,TU,1,011,1
06851925428A,0,TU,1,011,2
068494280012M,0,TU,1,011,2
068524184112A,0,TU,1,011,0
06756201386A,0,TU,1,011,1
06828668336M,0,TU,1,011,0
068551830512M,0,TU,1,011,2
009169451810A,0,TU,1,011,1
06851412063M,0,TU,1,011,0
068483420631/34,0,TU,1,011,0
009010490010A,0,TU,1,011,5
06851443008A,0,TU,1,011,1
009877412312/18M,0,TU,1,011,0
06823510836A,0,TU,1,011,0
06837449004A,0,TU,1,011,1
068530233118M,0,TU,1,011,0
068498133118M,0,TU,1,011,0
068439299131/32,0,TU,1,011,0
06847272063A,0,TU,1,011,0
068549013818M,0,TU,1,011,0
06848651723A,0,TU,1,011,0
06608287419M,0,TU,1,011,1
06852478478A,0,TU,1,011,0
068720151618M,0,TU,1,011,0
068409586610A,0,TU,1,011,0
068663680722,0,TU,1,011,0
06613427643M,0,TU,1,011,1
068576040026,0,TU,1,011,0
06756221388A,0,TU,1,011,1
068517011518M,0,TU,1,011,0
068432413810A,0,TU,1,011,6
06851610635A,0,TU,1,011,6
06862024213M,0,TU,1,011,1
06847436218A,0,TU,1,011,2
068518080023M,0,TU,1,011,0
06841668008A,0,TU,1,011,1
067618132419/22,0,TU,1,011,1
0273601-60,5,XL,5,012,0
6833940-96,36,36,2,012,1
0439673-48,48,48,8,012,0
0273602-99,3,M,3,012,0
8203105-91,1,1,1,012,4
0599336-56,2,S,2,012,0
0019534-11,34,34,1,012,1
0599298-89,2,S,2,012,0
0439770-01,42,42,5,012,0
0243370-06,5,XL,5,012,1
0093158-13,3,M,3,012,4
8863924-77,3,M,3,012,1
0243355-11,4,L,4,012,4
2993173-66,42,42,2,012,2
8953906-09,5,XL,5,012,0
0949531-58,3,M,3,012,1
7122219-01,6,XXL,6,012,3
2993170-30,44,44,4,012,1
1553703-82,3,M,3,012,1
1553707-01,3,M,3,012,3
0013468-40,32,32,12,012,0
6813151-36,38,38,3,012,1
0439673-10,36,36,2,012,0
1433835-94,3,M,3,012,0
6793443-17,40,40,4,012,0
A29JBM,8.5,42,6,017,0
A29JBM,8,41.5,5,017,0
A2C2R-P47,S,S,2,017,0
A2C6NM,7,40,3,017,0
A1XF2W,9.5,43.5,8,017,1
A29RHM,10,44,9,017,0
A2CZH32-P47,32,32,5,017,0
A2QKEM,8.5,42,6,017,0
A2BYY32-269,35,35,8,017,2
A2G52-J74,M,M,3,017,0
A1BSB-000,UNI,UNI,1,017,216
A2C9232-H87,34,34,7,017,1
A288HW,8,39,9,017,1
W2RD06KAVB3-JTMU,L,L,9,0311,1
V2RP12MC049-P11J,L,L,9,0311,1
GU32023-30,T/U,T/U,1,0311,34
W2GI32K9RM1-F60W,S,S,5,0311,1
W0GI69R8G01-JBLK,L,L,9,0311,6
M1RI71I3Z11-G011,XL,XL,11,0311,4
O1GA53MC03W-JBLK,S,S,5,0311,5
6463427-69,3,M,3,034,1
5523266-29,3,M,3,034,7
5523264-66,5,XL,5,034,2
6483514-97,95B,95B,26,034,1
6463426-97,3,M,3,034,1
3593911-48,5,XL,5,034,0
2533674-70,5,XL,5,034,0
5543639-69,5,XL,5,034,0
4383124-11,1,1,1,034,2
5690951-01,90,90,5,034,0
5523264-66,3,M,3,034,1
5691281-34,1,1,7,034,0
5543618-63,5,XL,5,034,0
5182719-34,2,2,10,034,1
5989779-69,85,100,4,034,0
6463444-96,3,M,3,034,3
5523235-01,4,L,4,034,0
2543694-28,3,M,3,034,0
5182573-34,5,XL,5,034,3
5523264-66,6,XXL,6,034,2
6463419-63,3,M,3,034,0
6463409-39,3,M,3,034,1
4653887-96,100B,100B,30,034,1
5543650-57,3,M,3,034,0
7913000-96,90C,90C,23,034,0
2533674-70,2,S,2,034,0
5523222-17,3,M,3,034,3
5691273-34,85,100,4,034,2
5543614-99,6,XXL,6,034,0
5523240-01,6,XXL,6,034,0
4276450-34,1,1,7,034,4
4343367-03,3,M,3,034,0
4853720-29,6,XXL,6,034,0
7682980-34,5,XL,5,034,0
8697353487989,0,TU,1,035,7
8697353408861,0,TU,1,035,25
8697353469756,0,TU,1,035,4
8697353541971,0,TU,1,035,8
8697353538766,0,TU,1,035,2
8697353476150,0,TU,1,035,0
8697353464867,0,TU,1,035,3
8697353534096,0,TU,1,035,2
8697353423444,0,TU,1,035,4
8697353396533,0,TU,1,035,29
8697353488931,0,TU,1,035,6
8697353469732,0,TU,1,035,3
8697353484926,0,TU,1,035,29
8697353339837,0,TU,1,035,2
8697353376610,0,TU,1,035,1
8697353512407,0,TU,1,035,1
8697353409585,0,TU,1,035,2
8697353551901,0,TU,1,035,15
